date,time,runtimeInMilliseconds,numPeersMin,numPeersMax,numPuts,maxVersions,putStrategyName,churnStrategyName,replication,replicationFactor,replicationIntervalInMilliseconds,putTTLInSeconds,putPrepareTTLInSeconds,ttlCheckIntervalInMilliseconds,putConcurrencyFactor,putDelayMinInMilliseconds,putDelayMaxInMilliseconds,churnRateJoin,churnRateLeave,churnJoinLeaveRate,churnRateMinDelayInMilliseconds,churnRateMaxDelayInMilliseconds,presentVersions,versionWrites,merges,delays,forksAfterGet,forksAfterPut,consistencyBreaks,elapsedTime
08.08.14,09:01:50,-1,15,25,5,10,optimistic,stepwiseRandom,nRoot,6,500,-1,1,500,2,1500,1000,2,2,0.5,1000,1500,10,10,1,0,4,3,0,13796
08.08.14,09:04:42,-1,15,25,5,10,optimistic,stepwiseRandom,nRoot,6,500,-1,1,500,2,1500,1000,2,2,0.5,1000,1500,10,10,0,0,0,2,0,8068
08.08.14,09:05:00,-1,15,25,5,10,optimistic,stepwiseRandom,nRoot,6,500,-1,1,500,2,1500,1000,2,2,0.5,1000,1500,10,10,0,0,0,3,0,8047
08.08.14,09:05:16,-1,15,25,5,10,optimistic,stepwiseRandom,nRoot,6,500,-1,1,500,2,1500,1000,2,2,0.5,1000,1500,10,10,0,0,0,1,0,7994
08.08.14,09:06:23,-1,15,25,5,10,optimistic,stepwiseRandom,nRoot,6,500,-1,1,500,2,1500,1000,2,2,0.5,1000,1500,10,10,0,0,0,1,0,8381
08.08.14,09:10:36,-1,15,25,5,10,optimistic,stepwiseRandom,nRoot,6,500,-1,1,500,2,1500,1000,2,2,0.5,1000,1500,10,10,0,0,0,4,0,8608
08.08.14,09:22:18,-1,15,25,5,10,traditionalVersion,stepwiseRandom,nRoot,6,500,-1,1,500,2,1500,1000,2,2,0.5,1000,1500,5,10,0,0,0,0,1,8456
08.08.14,09:24:14,-1,15,25,5,10,traditionalVersion,stepwiseRandom,nRoot,6,500,-1,1,500,2,1500,1000,2,2,0.5,1000,1500,1,10,0,0,0,0,1,7914
08.08.14,09:25:21,-1,15,25,5,10,traditionalVersion,stepwiseRandom,nRoot,6,500,-1,1,500,2,1500,1000,2,2,0.5,1000,1500,1,10,0,0,0,0,1,8090
08.08.14,09:26:27,-1,15,25,5,10,traditionalVersion,stepwiseRandom,nRoot,6,500,-1,1,500,2,1500,1000,2,2,0.5,1000,1500,5,10,0,0,0,0,1,8038
08.08.14,09:28:02,-1,15,25,5,10,traditionalVersion,stepwiseRandom,nRoot,6,500,-1,1,500,1,1500,1000,2,2,0.5,1000,1500,5,5,0,0,0,0,0,7761
08.08.14,09:28:25,-1,15,25,5,10,traditionalVersion,stepwiseRandom,nRoot,6,500,-1,1,500,1,1500,1000,2,2,0.5,1000,1500,4,5,0,0,0,0,0,7759
08.08.14,09:28:54,-1,15,25,5,10,traditionalVersion,stepwiseRandom,nRoot,6,500,-1,1,500,1,1500,1000,2,2,0.5,1000,1500,4,5,0,0,0,0,0,7746
08.08.14,10:04:34,-1,15,25,5,10,optimistic,stepwiseRandom,nRoot,6,500,-1,1,500,2,1500,1000,2,2,0.5,1000,1500,10,10,0,0,0,1,0,7979
08.08.14,11:18:24,-1,15,25,5,10,optimistic,stepwiseRandom,nRoot,6,500,-1,1,500,2,1500,1000,2,2,0.5,1000,1500,10,10,0,0,0,1,0,8042
12.08.14,01:25:10,-1,15,25,5,10,optimistic,stepwiseRandom,nRoot,6,500,-1,1,500,2,1500,1000,2,2,0.5,1000,1500,10,10,0,0,0,3,0,8375
12.08.14,01:28:14,-1,15,25,5,10,optimistic,stepwiseRandom,nRoot,6,500,-1,1,500,2,1500,1000,2,2,0.5,1000,1500,11,10,0,0,0,2,0,8389
12.08.14,01:28:24,-1,15,25,5,10,optimistic,stepwiseRandom,nRoot,6,500,-1,1,500,2,1500,1000,2,2,0.5,1000,1500,10,10,0,0,0,2,0,8204
12.08.14,01:28:33,-1,15,25,5,10,optimistic,stepwiseRandom,nRoot,6,500,-1,1,500,2,1500,1000,2,2,0.5,1000,1500,10,10,0,0,0,1,0,7877
12.08.14,01:28:43,-1,15,25,5,10,optimistic,stepwiseRandom,nRoot,6,500,-1,1,500,2,1500,1000,2,2,0.5,1000,1500,10,10,0,0,0,2,0,7984
12.08.14,01:28:53,-1,15,25,5,10,optimistic,stepwiseRandom,nRoot,6,500,-1,1,500,2,1500,1000,2,2,0.5,1000,1500,10,10,0,0,0,1,0,7691
12.08.14,05:15:42,-1,15,25,5,10,optimistic,stepwiseRandom,nRoot,6,500,-1,1,500,2,1500,1000,2,2,0.5,1000,1500,10,10,0,0,0,2,0,8302
12.08.14,05:15:52,-1,15,25,5,10,optimistic,stepwiseRandom,nRoot,6,500,-1,1,500,2,1500,1000,2,2,0.5,1000,1500,10,10,0,0,0,1,0,7671
12.08.14,05:16:01,-1,15,25,5,10,optimistic,stepwiseRandom,nRoot,6,500,-1,1,500,2,1500,1000,2,2,0.5,1000,1500,10,10,0,0,0,1,0,7691
12.08.14,05:16:10,-1,15,25,5,10,optimistic,stepwiseRandom,nRoot,6,500,-1,1,500,2,1500,1000,2,2,0.5,1000,1500,10,10,0,0,0,3,0,7991
16.08.14,08:34:58,10000,15,25,-1,10,optimistic,stepwiseRandom,nRoot,6,500,-1,1,500,2,1500,1000,2,2,0.5,1000,1500,14,14,0,0,0,3,0,11974
18.08.14,01:59:24,-1,15,25,1000,10,optimistic,stepwiseRandom,nRoot,6,500,-1,1,500,2,1500,1000,2,2,0.5,1000,1500,462,2000,2,0,11,10,0,1591072
19.08.14,01:55:09,-1,15,25,1000,10,optimistic,stepwiseRandom,nRoot,6,500,-1,1,500,2,1500,1000,2,2,0.5,1000,1500,1997,2000,0,2,0,38,0,1560617
